+2,139.0,38.0,132.6206,302.1041,09:21:44 882
＊主菜单＊,0,0,0,0,09:21:44 952
+1,263.0,159.0,140.0,184.0,09:21:52 926
+2,151.0,64.0,211.38997,260.6608,09:21:53 652
+2,172.0,98.0,184.0423,294.12686,09:21:54 954
+2,166.0,107.0,137.09811,297.0515,09:21:55 504
+2,145.0,104.0,173.0,271.0,09:21:56 098
+2,161.0,121.0,169.0,282.0,09:21:56 898
+2,181.0,74.0,225.54292,302.28174,09:21:59 227
+2,180.0,122.0,190.24156,303.1041,09:21:59 346
+2,169.0,106.0,174.0,277.0,09:21:59 499
-1,167.0,133.0,216.2859,279.45895,09:21:59 744
-1,133.0,109.0,180.44867,257.9666,09:22:00 550
0,128.0,143.0,128.0,143.0,09:22:00 826
-1,124.0,109.0,170.0,204.0,09:22:01 240
任务1, 开始
-1,135.0,125.0,308.0,197.0,09:22:04 764
-1,97.0,180.0,250.0,221.0,09:22:05 306
-1,112.0,155.0,220.66573,189.02664,09:22:05 676
0,214.0,105.0,214.0,105.0,09:22:07 202
睡眠,0,0,0,0,09:22:07 244
0,216.0,103.0,216.0,103.0,09:22:10 177
任务1, 结束
+2,178.0,81.0,199.23418,293.39398,09:22:31 191
＊主菜单＊,0,0,0,0,09:22:31 229
-1,145.0,129.0,270.0,145.0,09:22:34 227
-1,154.0,186.0,295.0,180.0,09:22:35 188
任务2, 开始
+1,258.0,172.0,98.0,189.0,09:22:46 676
-1,156.0,139.0,281.0,159.0,09:22:48 175
+1,291.0,153.0,127.46602,152.66019,09:22:49 730
+1,273.0,188.0,135.0,169.0,09:22:50 266
+1,274.0,175.0,149.58298,146.78499,09:22:50 676
+1,269.0,172.0,167.83719,150.50089,09:22:51 197
+1,260.0,161.0,122.617805,149.09267,09:22:51 732
+1,246.0,183.0,96.0,182.0,09:22:53 181
0,108.0,103.0,108.0,103.0,09:22:55 197
系统设置,0,0,0,0,09:22:55 245
任务2, 结束
0,237.0,55.0,237.0,55.0,09:22:59 348
+2,217.0,64.0,234.0,279.0,09:23:02 690
＊主菜单＊,0,0,0,0,09:23:02 730
-1,161.0,115.0,283.70105,98.80016,09:23:04 730
-1,180.0,132.0,267.74026,109.49259,09:23:04 806
-1,154.0,132.0,272.0,122.0,09:23:05 379
-1,173.0,137.0,309.7707,137.66571,09:23:05 951
+1,225.0,137.0,134.0,147.0,09:23:06 797
0,213.0,104.0,213.0,104.0,09:23:11 198
音乐,0,0,0,0,09:23:11 245
0,213.0,103.0,213.0,103.0,09:23:11 493
+1,270.0,138.0,106.948074,151.4434,09:23:13 157
+1,273.0,147.0,141.0,152.0,09:23:13 384
任务3, 开始
+1,288.0,138.0,218.73167,53.12356,09:23:17 539
任务3, 结束
+2,154.0,62.0,232.31982,266.8429,09:23:30 193
＊主菜单＊,0,0,0,0,09:23:30 238
任务4, 开始
+1,265.0,151.0,76.0,158.0,09:23:32 319
-1,138.0,138.0,296.0,163.0,09:23:34 168
-1,133.0,147.0,295.0,166.0,09:23:34 291
-1,139.0,139.0,303.93182,158.82771,09:23:34 468
-1,102.0,160.0,250.0,155.0,09:23:35 138
-1,115.0,149.0,282.0,181.0,09:23:35 989
+1,262.0,152.0,95.0,148.0,09:23:36 397
+1,271.0,148.0,101.0,149.0,09:23:36 810
+1,281.0,149.0,89.0,142.0,09:23:37 461
+1,286.0,152.0,88.0,123.5,09:23:38 274
+1,279.0,159.0,129.15446,128.1197,09:23:39 250
0,115.0,88.0,115.0,88.0,09:23:40 702
股票,0,0,0,0,09:23:40 744
+1,277.0,149.0,111.341995,141.595,09:23:42 885
+1,278.0,151.0,102.0,151.0,09:23:44 701
+1,261.0,132.0,91.87546,149.0,09:23:45 030
+1,239.0,143.0,67.0,135.0,09:23:46 793
任务4, 结束
+2,144.0,60.0,221.44867,292.24228,09:23:50 193
＊主菜单＊,0,0,0,0,09:23:50 236
任务5, 开始
-1,145.0,142.0,284.7077,156.60362,09:23:52 374
-1,152.0,150.0,291.64804,173.77965,09:23:53 750
-1,157.0,171.0,292.0,184.0,09:23:54 229
0,219.0,119.0,219.0,119.0,09:23:55 755
联系人,0,0,0,0,09:23:55 845
+1,265.0,141.0,152.65869,150.57884,09:23:59 687
+1,264.0,157.0,96.034096,177.34494,09:23:59 937
+1,240.0,142.0,82.75998,152.44301,09:24:00 426
任务5, 结束
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
0,296.0,130.0,296.0,130.0,09:24:03 420
