+1,286.0,153.0,62.0,184.0,08:37:48 239
任务1, 开始
-1,114.0,178.0,267.0,185.0,08:38:00 988
-1,147.0,184.0,305.65952,184.74846,08:38:01 601
+1,295.0,174.0,88.03044,192.58496,08:38:02 322
+1,274.0,143.0,94.0,230.0,08:38:03 580
0,194.0,232.0,194.0,232.0,08:38:06 640
支付宝,0,0,0,0,08:38:06 677
任务1, 结束
任务2, 开始
+2,152.0,42.0,112.0,296.0,08:38:19 620
＊主菜单＊,0,0,0,0,08:38:19 662
-1,68.0,197.0,265.0,217.0,08:38:21 564
-1,99.0,181.0,294.0,159.0,08:38:22 206
-1,144.0,179.0,295.25217,141.183,08:38:23 525
0,95.0,121.0,95.0,121.0,08:38:26 119
健康运动,0,0,0,0,08:38:26 158
+1,288.0,143.0,115.61376,153.95598,08:38:30 615
+1,296.0,141.0,97.0,189.0,08:38:31 270
+1,252.0,140.0,76.22102,169.72919,08:38:32 164
+1,277.0,154.0,177.38367,187.21187,08:38:34 054
任务2, 结束
任务3, 开始
+2,186.0,52.0,136.16324,299.1185,08:38:44 170
＊主菜单＊,0,0,0,0,08:38:44 644
+1,280.0,179.0,73.90878,236.24257,08:38:46 335
+1,281.0,178.0,71.0,228.0,08:38:46 924
+1,290.0,188.0,118.0,218.0,08:38:47 368
+1,297.0,176.0,183.0,154.0,08:38:48 233
+1,289.0,163.0,189.0,177.0,08:38:49 016
+1,302.0,152.0,128.0,191.0,08:38:49 785
+1,266.0,123.0,67.0,184.0,08:38:50 734
0,87.0,116.0,87.0,116.0,08:38:50 927
系统设置,0,0,0,0,08:38:50 991
任务3, 结束
任务4, 开始
+2,138.0,27.0,109.0,272.0,08:39:04 150
＊主菜单＊,0,0,0,0,08:39:04 247
+1,256.0,170.0,47.0,201.0,08:39:07 502
0,118.0,154.0,118.0,154.0,08:39:07 731
-1,118.0,179.0,260.0,144.0,08:39:08 288
-1,99.0,182.0,270.0,159.0,08:39:08 993
-1,166.0,188.0,294.0,181.0,08:39:09 844
-1,130.0,147.0,258.0,150.0,08:39:10 697
-1,94.0,184.0,218.0,153.0,08:39:11 703
0,227.0,86.0,227.0,86.0,08:39:12 329
微信,0,0,0,0,08:39:12 418
+1,293.0,160.0,44.915787,259.82953,08:39:20 619
+1,294.0,128.0,93.69848,184.66331,08:39:21 410
+1,291.0,179.0,137.0,229.0,08:39:22 275
+1,287.0,169.0,124.0,236.0,08:39:23 031
+1,252.0,147.0,146.37125,185.15822,08:39:23 979
-1,136.0,188.0,295.0,157.0,08:39:24 344
-1,167.0,173.0,285.0,181.0,08:39:24 718
-1,137.0,178.0,244.0,154.0,08:39:24 867
-1,155.0,159.0,261.0,149.0,08:39:25 290
+2,175.0,47.0,164.58287,288.8106,08:39:26 018
＊主菜单＊,0,0,0,0,08:39:26 064
+1,306.0,155.0,185.0,204.0,08:39:28 148
+1,297.0,157.0,179.0,164.0,08:39:28 803
+1,284.0,179.0,83.0,242.0,08:39:29 534
0,207.0,254.0,207.0,254.0,08:39:30 171
0,223.0,208.0,223.0,208.0,08:39:31 756
笔记,0,0,0,0,08:39:31 812
+1,293.0,142.0,96.517105,228.37729,08:39:34 141
+1,295.0,165.0,141.0,220.0,08:39:36 000
任务4, 结束
任务5, 开始
+2,89.0,67.0,79.14481,291.72165,08:39:53 655
＊主菜单＊,0,0,0,0,08:39:53 722
-1,119.0,191.0,243.0,175.0,08:39:55 806
-1,130.0,155.0,294.0,138.0,08:39:56 370
-1,146.0,182.0,291.0,139.0,08:39:57 507
+1,306.0,158.0,138.53197,193.60788,08:39:58 736
+1,292.0,159.0,112.0,195.0,08:39:59 197
0,98.0,223.0,98.0,223.0,08:40:02 997
视频,0,0,0,0,08:40:03 039
+1,295.0,149.0,119.903564,200.35945,08:40:04 728
+1,294.0,149.0,105.34949,240.44397,08:40:06 156
任务5, 结束
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
