+2,175.0,25.0,183.0,181.0,14:45:52 976
＊主菜单＊,0,0,0,0,14:45:53 069
任务1, 开始
+1,214.0,172.0,72.0,202.0,14:46:05 791
+1,244.0,158.0,65.0516,201.40079,14:46:06 977
+2,183.0,28.0,189.5,201.5,14:46:07 824
-1,102.0,141.0,241.0,180.0,14:46:08 325
-1,142.0,154.0,269.0463,150.07901,14:46:09 405
-1,138.0,149.0,233.0,143.0,14:46:10 883
0,101.0,217.0,101.0,217.0,14:46:12 378
视频,0,0,0,0,14:46:12 442
0,193.0,171.0,193.0,171.0,14:46:15 156
+1,238.0,166.0,75.348404,198.08537,14:46:16 038
任务1, 结束
+2,173.0,31.0,208.32297,243.87299,14:46:23 793
＊主菜单＊,0,0,0,0,14:46:23 861
任务2, 开始
+1,274.0,148.0,133.0,185.0,14:46:32 720
0,43.0,158.0,43.0,158.0,14:46:36 458
+1,232.0,151.0,129.0,178.0,14:46:37 010
-1,154.0,161.0,265.0,158.0,14:46:38 604
0,218.0,215.0,218.0,215.0,14:46:40 669
笔记,0,0,0,0,14:46:40 716
+1,236.0,236.0,70.022446,278.1955,14:46:43 677
+1,264.0,191.0,162.0,229.0,14:46:45 239
+1,212.0,100.0,161.51723,100.0,14:46:55 229
0,192.0,87.0,192.0,87.0,14:46:55 510
0,180.0,65.0,180.0,65.0,14:46:56 325
+1,250.0,102.0,48.5919,140.74892,14:46:57 378
任务2, 结束
+2,170.0,23.0,170.0,213.0,14:47:05 958
＊主菜单＊,0,0,0,0,14:47:06 059
任务3, 开始
-1,80.0,188.0,193.0,210.0,14:47:11 867
-1,44.0,176.0,188.0,181.0,14:47:12 558
-1,55.0,164.0,229.0,184.0,14:47:13 332
-1,78.0,154.0,290.0,185.0,14:47:14 398
-1,98.0,152.0,281.0,177.0,14:47:15 437
0,98.0,128.0,98.0,128.0,14:47:16 748
健康运动,0,0,0,0,14:47:16 805
+1,263.0,164.0,94.0,228.0,14:47:23 170
任务3, 结束
任务4, 开始
+2,146.0,23.0,143.51091,250.60715,14:47:34 230
＊主菜单＊,0,0,0,0,14:47:34 267
+1,283.0,140.0,51.5,198.0,14:47:36 839
+1,235.0,143.0,57.0,212.0,14:47:37 250
+1,263.0,145.0,63.0,209.0,14:47:38 280
+1,280.0,141.0,67.0,212.0,14:47:39 220
0,102.0,219.0,102.0,219.0,14:47:40 558
卡包,0,0,0,0,14:47:40 612
+1,265.0,145.0,114.24234,186.35469,14:47:44 174
+1,289.0,133.0,138.24385,176.07607,14:47:45 453
+1,275.0,134.0,130.0,184.0,14:47:46 836
+1,275.0,140.0,172.0,181.0,14:47:48 068
-1,92.0,166.0,189.0,145.0,14:47:49 028
-1,86.0,146.0,254.66948,186.29561,14:47:49 677
-1,64.0,177.0,267.49316,164.89139,14:47:50 537
-1,54.0,178.0,268.0,177.0,14:47:51 531
-1,62.0,153.0,262.0,149.0,14:47:52 775
任务4, 结束
+2,179.0,35.0,183.9673,204.54211,14:47:59 429
＊主菜单＊,0,0,0,0,14:47:59 563
任务5, 开始
+1,280.0,175.0,116.0,220.0,14:48:09 444
+1,267.0,149.0,59.0,215.0,14:48:10 605
0,104.0,104.0,104.0,104.0,14:48:11 426
系统设置,0,0,0,0,14:48:11 486
任务5, 结束
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
