+2,208.0,51.0,181.4234,267.22006,276380.865
7000,0,0,0,0,276380.971
8001,998,0,0,0,0
-1,65.0,164.0,291.0,172.0,276391.236
-1,62.0,161.0,285.0,175.0,276391.921
-1,97.0,153.0,303.0,182.0,276392.544
-1,48.0,177.0,278.0,195.0,276393.52
0,216.0,115.0,216.0,115.0,276394.562
7002,0,0,0,0,276394.663
+1,293.0,161.0,99.0,228.0,276398.068
8001,999,0,0,0,0
8002,998,0,0,0,0
+2,173.0,42.0,171.0,279.0,276408.95
7000,0,0,0,0,276409.075
+1,283.0,193.0,75.0,256.0,276412.197
0,113.0,234.0,113.0,234.0,276412.973
7007,0,0,0,0,276413.012
+1,269.0,192.0,50.0,253.0,276418.109
-1,65.0,201.0,307.53595,155.0,276419.2
+1,289.0,190.0,37.061142,228.4819,276420.249
-1,53.0,232.0,304.38983,166.04005,276422.566
+2,188.0,80.0,158.96222,281.25497,276425.308
7000,0,0,0,0,276425.397
+1,298.0,166.0,64.0,238.0,276428.987
0,226.0,102.0,226.0,102.0,276429.664
7010,0,0,0,0,276429.733
+1,303.0,175.0,77.0,258.0,276433.07
+1,305.0,153.0,35.32165,230.02867,276433.82
+1,292.0,172.0,64.0,237.0,276434.909
+1,261.0,184.0,66.0,233.0,276438.47
-1,74.0,205.0,304.6036,194.73936,276439.667
8002,999,0,0,0,0
8003,998,0,0,0,0
+2,177.0,25.0,149.74257,289.57822,276449.566
7000,0,0,0,0,276449.67
-1,58.0,208.0,285.0,145.0,276452.172
-1,104.0,206.0,270.3922,187.60857,276453.16
-1,63.0,232.0,273.0,189.0,276456.785
+1,304.0,171.0,82.0,238.0,276458.264
+1,305.0,177.0,58.0,247.0,276459.34
0,293.0,195.0,293.0,195.0,276460.258
+1,295.0,188.0,98.0,244.0,276460.559
0,224.0,113.0,224.0,113.0,276461.498
7014,0,0,0,0,276461.537
+1,283.0,186.0,106.0,270.0,276464.076
+1,281.0,179.0,123.0,270.0,276465.619
8003,999,0,0,0,0
8004,998,0,0,0,0
+2,153.0,29.0,135.44876,272.40985,276474.567
7000,0,0,0,0,276474.635
+1,299.0,187.0,126.0,235.0,276477.273
+1,298.0,187.0,98.0,251.0,276478.488
+1,294.0,161.0,114.0,224.0,276479.56
+1,292.0,180.0,260.0,173.0,276480.662
0,223.0,229.0,223.0,229.0,276480.798
7028,0,0,0,0,276481.007
8004,999,0,0,0,0
8005,998,0,0,0,0
+2,198.0,57.0,174.55699,293.79703,276494.617
7000,0,0,0,0,276494.765
-1,80.0,192.0,284.0,162.0,276497.773
-1,100.0,207.0,270.0,168.0,276499.517
-1,55.0,179.0,295.0,149.0,276500.596
0,238.0,225.0,238.0,225.0,276501.798
7020,0,0,0,0,276501.839
+1,294.0,193.0,60.043972,256.24585,276507.596
+1,294.0,184.0,10.0,234.0,276511.813
+1,295.0,155.0,79.0,218.0,276516.543
0,183.0,258.0,183.0,258.0,276517.245
0,179.0,256.0,179.0,256.0,276517.686
0,177.0,237.0,177.0,237.0,276518.307
-1,63.0,195.0,287.0,173.0,276521.565
+1,287.0,148.0,13.551325,229.89662,276524.077
+1,291.0,159.0,69.0,243.0,276526.586
-1,42.0,188.0,281.17395,201.72635,276526.726
-1,71.0,208.0,285.0,191.0,276527.545
+1,288.0,176.0,33.35476,231.41676,276528.228
+1,294.0,150.0,30.0,227.0,276529.154
8005,999,0,0,0,0
66666666666666666666
